"발생일","발생시간","요일","발생지_시군구","사고내용","법정동","사망자수","중상자수","경상자수","부상신고자수","사고유형_대분류","사고유형_중분류","사고유형","가해자법규위반","노면상태_대분류","노면상태","기상상태","도로형태_대분류","도로형태","가해자차종","가해자연령","가해자성별","가해자신체상해정도","피해자차종","피해자연령","피해자성별","피해자신체상해정도","경도","위도"
"2012-10-15","15","월","동작구","사망","상도동","1","0","0","0","차대사람","횡단중","횡단중","보행자 보호의무 위반","포장","건조","맑음","교차로","교차로내","화물차","41-50세","여","상해없음","보행자","65세이상","남","사망","126.95564527","37.51362427"
"2012-10-15","15","월","은평구","사망","불광동","1","0","0","0","차대사람","횡단중","횡단중","안전운전 의무 불이행","포장","건조","맑음","단일로","기타단일로","승합차","61-70세","남","상해없음","보행자","65세이상","여","사망","126.92766072","37.61299149"
"2012-10-16","08","화","서초구","사망","방배동","1","0","0","0","차대사람","기타","기타","안전운전 의무 불이행","포장","건조","맑음","교차로","교차로부근","건설기계","41-50세","남","상해없음","보행자","65세이상","남","사망","126.99353708","37.48734700"
"2012-10-17","01","수","강서구","사망","염창동","1","0","0","0","차대사람","횡단중","횡단중","신호위반","포장","젖음/습기","비","단일로","기타단일로","승용차","21-30세","남","상해없음","보행자","21-30세","여","사망","126.86789928","37.54925921"
"2012-10-17","04","수","광진구","사망","군자동","1","0","0","0","차대사람","기타","기타","안전운전 의무 불이행","포장","젖음/습기","비","단일로","기타단일로","승용차","61-70세","남","상해없음","보행자","65세이상","여","사망","127.07219669","37.55679207"
"2012-10-17","14","수","구로구","사망","구로동","1","0","0","0","차대사람","횡단중","횡단중","안전운전 의무 불이행","포장","건조","맑음","교차로","교차로부근","화물차","61-70세","남","상해없음","보행자","31-40세","여","사망","126.89909777","37.48029746"
"2012-10-18","13","목","강서구","사망","화곡동","1","0","0","0","차량단독","공작물충돌","공작물충돌","안전운전 의무 불이행","포장","건조","맑음","단일로","기타단일로","승용차","41-50세","남","사망","없음","불명","없음","없음","126.85257464","37.55276353"
"2012-10-21","08","일","노원구","사망","월계동","1","0","0","0","차대차","기타","기타","안전운전 의무 불이행","포장","건조","맑음","단일로","기타단일로","자전거","71세이상","남","사망","자전거","65세이상","남","상해없음","127.07044110","37.62391797"
"2012-10-23","19","화","영등포구","사망","여의도동","1","0","0","0","차대차","정면충돌","정면충돌","신호위반","포장","건조","맑음","교차로","교차로내","원동기장치자전거","31-40세","남","사망","건설기계","51-60세","남","기타불명","126.92622654","37.52675292"
"2012-10-24","08","수","관악구","사망","신림동","1","0","0","0","차대사람","횡단중","횡단중","안전운전 의무 불이행","포장","건조","흐림","단일로","기타단일로","화물차","61-70세","남","상해없음","보행자","65세이상","남","사망","126.91265491","37.48658500"
"2012-10-24","22","수","강서구","사망","오곡동","1","0","0","0","차대차","기타","기타","신호위반","포장","건조","흐림","교차로","교차로부근","승용차","41-50세","여","상해없음","이륜차","13-20세","남","사망","126.77941768","37.55501669"
"2012-10-26","07","금","은평구","사망","진관동","1","0","0","0","차량단독","공작물충돌","공작물충돌","안전운전 의무 불이행","포장","건조","맑음","단일로","기타단일로","이륜차","61-70세","남","사망","없음","불명","없음","없음","126.92956591","37.64983828"
"2012-10-27","21","토","금천구","사망","가산동","1","0","0","0","차대차","추돌","주정차중 추돌","안전운전 의무 불이행","포장","젖음/습기","비","단일로","기타단일로","승용차","41-50세","남","사망","승합차","31-40세","남","기타불명","126.87373228","37.48528543"
"2012-10-28","04","일","마포구","사망","아현동","1","0","0","0","차대차","기타","기타","신호위반","포장","건조","맑음","단일로","횡단보도상","승용차","21-30세","남","상해없음","자전거","65세이상","남","사망","126.95631241","37.55734285"
"2012-10-28","07","일","성북구","사망","돈암동","1","0","0","0","차량단독","공작물충돌","공작물충돌","안전운전 의무 불이행","포장","건조","맑음","단일로","기타단일로","원동기장치자전거","41-50세","남","사망","없음","불명","없음","없음","127.01349612","37.59971224"
"2012-10-28","16","일","도봉구","사망","방학동","1","0","0","0","차대사람","횡단중","횡단중","안전운전 의무 불이행","포장","건조","맑음","단일로","횡단보도상","승합차","51-60세","남","상해없음","보행자","51-60세","여","사망","127.04298713","37.66584418"
"2012-10-28","21","일","강동구","사망","강일동","1","0","0","0","차량단독","기타","기타","안전운전 의무 불이행","포장","건조","맑음","기타/불명","기타/불명","화물차","41-50세","남","사망","없음","불명","없음","없음","127.18426531","37.56671732"
"2012-10-29","04","월","성북구","사망","삼선동2가","1","0","0","0","차대사람","차도통행중","차도통행중","신호위반","포장","건조","맑음","교차로","교차로내","승용차","51-60세","남","상해없음","보행자","51-60세","여","사망","127.00878098","37.58802932"
"2012-10-30","10","화","성북구","사망","정릉동","1","0","0","0","차대사람","기타","기타","기타","포장","건조","맑음","교차로","교차로내","승용차","41-50세","남","기타불명","보행자","65세이상","여","사망","127.00364249","37.60962202"
"2012-10-31","12","수","송파구","사망","가락동","1","0","0","0","차대사람","기타","기타","안전운전 의무 불이행","포장","건조","맑음","교차로","교차로부근","승용차","51-60세","남","상해없음","보행자","65세이상","여","사망","127.10946488","37.49456533"
"2012-11-03","05","토","서초구","사망","반포동","1","0","0","0","차량단독","공작물충돌","공작물충돌","안전운전 의무 불이행","포장","건조","맑음","단일로","기타단일로","승용차","21-30세","남","사망","없음","불명","없음","없음","127.01631436","37.50375704"
