"","comic.name","comic.summary","comic.grade"
"112","살아서 만납시다","PTSD일기","9.85"
"113","우리네 이야기","유쾌한 직장인들","9.80"
"114","홍시관찰일기","아기를 싫어하던 여자가 아기를 낳았다!","9.86"
"115","두리안은 과일이 아니야!","두리안이 나타났다!","9.27"
"116","그때로 돌아갈 수 있다면","추리 범죄 스릴러","9.12"
"117","BL작가 화이팅!","BL작가와PD의썸씽","8.60"
"118","S탐정 앙드레","진짜 탐정은 하나","9.92"
"119","외국 in 한국","영국인의한국생활","9.87"
"120","촉법","촉법 능력자?!","8.51"
"121","CMYK","의식의 흐름 만화","9.16"
"122","이래봬도2학년","초등학교 이야기!","9.76"
"123","배반을 모르는 푸른 꽃을 위하여","로맨스 판타지","9.64"
"124","던전 헌터 그 녀석들","던전의 기묘한 헌터","9.59"
"125","뱀파이어의 연금술","연금술사와 뱀파이어","9.58"
"126","가스맨","엥 내가 히어로?","9.67"
"127","만월에 핀 연꽃","고려시대 사랑이야기","9.67"
"128","남편봇과 사는법","로봇같은남편과 살기","9.93"
"129","자퇴생은 그림 그려","자퇴생 일상툰","9.71"
"130","원래부터 아무것도 없었던 세계","시리어스 메타픽션물","9.82"
"131","급식으로 사는 법","리얼 학교생활","9.04"
"132","카오스이론","오브젝트헤드 판타지","9.88"
"133","[BL] HOLY JUNK","두 사람의 삶","9.58"
"134","한지붕 새가족","꿀잼 가족 시트콤!","9.63"
"135","여배우 안태이","여배우의 이야기","9.36"
"136","사자머리와호깜대","뻔뻔한 냥이들의일상","9.79"
"137","우리집 강아지는 복슬강아지","댕댕이와의 일상:3","9.89"
"138","모호담","스릴러 단편집","9.53"
"139","난편하다","주인공의 성장스토리","9.73"
"140","귀신잡는 해병대","헤이빠빠리빠","9.17"
"141","신을 죽인 아이들","미쳐버린 신을죽인다","8.81"
"142","의대생 하루","의대생의 리얼 일상","8.85"
"143","덩키파티","어떻게 살아야 될까","9.69"
"144","나의 대주주가 되어주오","소꿉친구와 재회","9.61"
"145","너와 가까워지는 거리","소프트BL","9.71"
"146","기억 속 너에게","판타지 성장물","8.91"
"147","루이와 졸개들 R","나만알고싶은 양아치","9.78"
"148","인간동물원","인간동물원 탈출기","9.78"
"149","다시 한 번 리유스!","두번째 청춘","9.68"
"150","24시간","살인마를피해탈출하라","9.63"
"151","나의 애니메이터 이야기","나는 애니메이터","9.39"
"152","빛, 봉인의 열쇠","마스터 키를 찾아서","9.75"
"153","하루한끼 감정일기 시즌2","아기자기힐링 음식툰","9.83"
"154","너는 나의 2%","소꿉친구 병맛로맨스","9.88"
"155","나만 모르는 이야기","혼자인사람들의이야기","9.78"
"156","이게좋아","우린 무슨 관계지?","8.90"
"157","1년 동안 잘 부탁해!","우당탕탕 기숙학교!","9.53"
"158","불손한 친구들","불손한 친구들 일상","9.85"
"159","네일을 향해 쏴라","남자의 네일 도전기","9.04"
"160","성별역전","소꿉친구","9.68"
"161","나는 0대생","공대생 일상툰","9.79"
"162","[일상 로맨스] 그냥 선생님","선생님의 일상로맨스","9.93"
"163","더 위시","솔로몬의 마법단지","8.90"
"164","어쩌다 주짓수","어쩌다 주짓수 코치","9.71"
"165","얘! 알바야","편의점 알바 일상","9.88"
"166","하루땃따","시트콤 같은 일상툰","9.91"
"167","막내는 다 알아요!","다섯 가족의 일상","9.78"
"168","삼자대면","세 쌍둥이의 일상!","9.82"
"169","녹는점","지구온난화","9.73"
"170","아틀레냐 비바체","치유계 개판물","9.88"
"171","루텔","력家네","9.90"
"172","칠흑의 장미","남주가 빌런","9.88"
"173","소중한 하루를 살다","소중한 일상 만들기","9.72"
"174","마이데이","청춘 성장 로맨스","9.69"
"175","무직백수 계백순","백수로 살기","9.65"
"176","다 홀로 집에","365박  집캉스","9.44"
"177","맹랑맘마 ing","현재진행형 일기","9.84"
"178","생각보다 잘 자랐습니다","가정폭력 그후10년","9.91"
"179","이딴여행","여행포토툰","9.78"
"180","모텔 304호","본격 모텔 스릴러","9.46"
"181","귀현설(鬼現說)","공포 클리셰를 깨자","9.38"
"182","불쌍한놈","죽지 않는 소년","8.43"
"183","제 4의 벽","우린 만화 캐릭터다","9.15"
"184","울지마요, 마왕의 땅","내가미래의악당?","9.86"
"185","코코피시방","일과 thㅏ랑","9.56"
"186","좋은 꿈 꿔","꿈으로 시작된 사랑","8.74"
"187","나는 마요 집사로소이다","쉽지 않은 집사생활","9.86"
"188","소심인사회","소심인사회","9.90"
"189","제제와 함께","장애아이와 형제","9.80"
"190","백작저를 나가야 하는 이유","로맨스 판타지","9.78"
"191","봉산코믹스","비극과희극 단편선","9.78"
"192","여우신부&뱀신랑","뱀과 구미호 이야기","9.66"
"193","육아도 경력이 될 수 있다면","육아 에세이툰","9.72"
"194","고냥고냥","취준생 고냥이","9.90"
"195","붉은 이정표","판타지 복수극","9.88"
"196","결혼하고 싶지 않았는데 못하게 되었다.","안하느냐 못했느냐","9.85"
"197","코실룩코실룩","토끼는<U+00A0>마성의<U+00A0>동물","9.44"
"198","패러렐 필름","평행세계로맨스&복수","9.53"
"199","눈치없는 내 친구!","청춘 캠퍼스 개그물","9.79"
"200","별을 향해","별 여행 이야기","9.22"
"201","매그니피센트","위대한 우리들","9.80"
"202","신혼좀비","좀비 패밀리","9.89"
"203","극장에 유령이 나오면","캠퍼스스릴러판타지","9.57"
"204","낫론니 포레스트","할머니와 도마도!","9.91"
"205","하나리즈","레즈비언 커플이야기","8.99"
"206","뭉가툰","뭉가의 개그일상","9.80"
"207","잇츠라니타임","MZ세대 부부살이","9.86"
"208","말레이시아 리스키씨","말레이시아 교민일기","9.89"
"209","고로나 바이러스","썩은 연애 구출기","9.01"
"210","윤덩까툰","윤덩일상 영국편","9.40"
"211","죽 쑨 만화","아싸 대학생의 일상","9.82"
"212","만유인력의 법칙","1960에서살아남기","9.88"
"213","1억 받고 고백하기","이걸 안 해??","9.78"
"214","아타나시아","마법과 불사","9.67"
"215","정령왕즈","정령왕들이 조잘조잘","9.88"
"216","육식고","동물로 변하는 세상","9.49"
"217","8470원만 주면 KISS 해주는 놈","인터넷소설 세상으로","9.66"
"218","경기예술고등학교 19기 G-CAF","경기예고 창작만화","9.69"
"219","신들의 킬러텔","신 VS 문명","9.70"
"220","알고 싶니 마음, #심리툰 by 팔호광장","알고싶니 마음","9.78"
"221","해골 잭","다크판타지 소년만화","9.81"
"222","드림캐처","악몽 vs 드림캐처","9.34"
"223","아엠낫히어로","악당영웅의아이키우다","9.14"
"224","흑월의기사","괴물과 괴물사냥꾼","9.73"
"225","이클립스","중세풍 판타지","9.86"
"226","개그용사","파르스와 니케의모험","9.34"
"227","게임에 접속했습니다!","게임하는 고딩들","9.77"
"228","곰인형 좋아하세요?","새내기 로맨스","9.11"
"229","백일몽화원","매력세계관 판타지","9.71"
"230","원더키퍼","너를 지키는","9.90"
"231","네, 아직 아파요","정병러 그림 일기","9.53"
"232","오마이셋!!!","애가 셋입니다만..","9.89"
"233","허니허니2 - 느리지만 괜찮아","초보아빠 육아일기","9.90"
"234","소라비의 잡화점","#로판  #남장여자","9.82"
